Timestamp,Which is your favorite chocolate chip cookie?,Which is your favorite CHIPLESS (ie no chocolate) cookie?,Which is your favorite cookie?,How old are you?,Do you work at emLab?,Comments? Questions?,id
4/4/23 10:24,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,"For A v. B, I like the flavor of B better but the texture of A more. Texture wins for me since I like softer cookies. I like the chips better in B. 

Same for C v. D on texture v flavor. C has better texture, D has better flavor. In this case flavor won out. ",R1
4/4/23 10:25,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,"",R2
4/4/23 10:32,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,"",R3
4/4/23 10:33,"Cookie A (if cookies came stacked, top cookie)",No preference,Cookie A,18 and up,Yes,"",R4
4/4/23 10:44,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,Thank you!!! These are amazing!,R5
4/4/23 10:55,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,Thank you for making these!!!,R6
4/4/23 11:32,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,18 and up,Yes,The chip-less cookies were a delightful surprise.,R7
4/4/23 11:37,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,Please continue with similar experiments,R8
4/4/23 11:46,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,I submitted the wrong answer before.,R9
4/4/23 14:05,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,There should be a graph that shows the relationship to cookie liking and freshness.,R10
