Timestamp,Which is your favorite chocolate chip cookie?,Which is your favorite CHIPLESS (ie no chocolate) cookie?,Which is your favorite cookie?,How old are you?,Do you work at emLab?,Comments? Questions? ,Name (optional)
4/4/2023 10:24:33,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,"For A v. B, I like the flavor of B better but the texture of A more. Texture wins for me since I like softer cookies. I like the chips better in B. 

Same for C v. D on texture v flavor. C has better texture, D has better flavor. In this case flavor won out. ",Erin O
4/4/2023 10:25:51,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,,
4/4/2023 10:32:03,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,,Cullen
4/4/2023 10:33:03,"Cookie A (if cookies came stacked, top cookie)",No preference,Cookie A,18 and up,Yes,,
4/4/2023 10:44:14,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,Thank you!!! These are amazing!,Michaela
4/4/2023 10:55:09,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,Thank you for making these!!!,Simon
4/4/2023 11:32:51,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,18 and up,Yes,The chip-less cookies were a delightful surprise. ,Danielle Ferraro
4/4/2023 11:37:36,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,Please continue with similar experiments,
4/4/2023 11:46:45,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,I submitted the wrong answer before.,
4/4/2023 14:05:45,,"Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,There should be a graph that shows the relationship to cookie liking and freshness. ,Cookie Monster 
4/4/2023 14:21:17,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,Yes,"Okay so these answers are soft-cookie bias corrected (i.e. my opinions after I microwaved the cookies so they all became softer) because I will always prefer a soft center cookie over a crunchy center cookie. My first impressions though were slightly different and they're here in case you want to use those answers instead: 
 - Cookie A over Cookie B 
 - Cooke D over Cookie C 
 - Cookie A best overall 

Other opinions: I love the salt and the chocolate chips of Cookie B. Does Cookie C have more vanilla in it? I was picking up more of a subtle vanilla flav (or at least I thought) in Cookie C that wasn't as strong in Cookie D (even though I liked Cookie D better overall). Also can I guess that the NYT one is Cookie B/D? ",Sara 
4/4/2023 15:13:10,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,Yes,,
4/4/2023 16:20:31,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,Yes,,
4/4/2023 16:21:26,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,What a tasty game :)!,
4/4/2023 16:45:05,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,No,Thank you! You da best. ,Kate Lee
4/4/2023 16:45:41,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,,Brett G
4/4/2023 17:20:00,"Cookie A (if cookies came stacked, top cookie)",No preference,Cookie A,18 and up,Yes,Which one is LA and which one is NYT? A gossip going around is A NYT and B LA ,Guille
4/4/2023 18:17:50,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,,Lauren 
4/4/2023 18:18:32,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,Under 18,No,,Avalon
4/4/2023 18:23:41,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,,
4/4/2023 18:40:10,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,,JL
4/4/2023 18:41:07,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,,Jamie
4/4/2023 18:41:36,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,Under 18,No,,Lauren
4/4/2023 19:22:26,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"I would love the recipe for B! haha. thank you, Tracey! The big chocolate chunks were amazing.",Katelyn Hinson
4/4/2023 19:22:59,"Cookie A (if cookies came stacked, top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie A,18 and up,No,,Max Hinson
4/4/2023 20:28:22,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,Heavily favored the chipless cookies 😜,Melissa Chavez
4/4/2023 20:28:54,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,Under 18,No,Both great ,Saul Quiroz
4/4/2023 20:39:12,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,,Brian L
4/4/2023 21:48:36,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,Thanks Tracey!! So yummy ,Jamie F
4/4/2023 21:50:38,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,"I HIGHLY value the vanilla notes in cookies A and C. I also prefer its texture which felt slightly more chewy for me. I chose B over A because I really cherish the addition of salt to B and the big chocolate chunks were a (surprisingly) big hit for me. I was fully expecting to pick C over D given the lack of chunks, but in the end the thinness of C and the saltiness of D was big enough for me to pick D over C as well! GO SALT and go J-E-T-S",Ians
4/4/2023 23:15:40,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,,ricky
4/4/2023 23:17:17,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,18 and up,No,All delish! Yay carbs!❤️‍🔥,Elio
4/5/2023 6:52:01,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie C,18 and up,Yes,I liked chewyness of cookie A but did not like the chocolate chips in cookie A. ,Lennon Thomas
4/5/2023 7:15:04,"Cookie B (if cookies came stacked, second from top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie B,18 and up,Yes,,
4/5/2023 10:11:58,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie D,Under 18,No,Loved the overall taste test experience,Dylan
4/5/2023 10:12:33,No preference,No preference,Cookie D,Under 18,No,"Carrot was the real winner here, but the only cookie she was willing to eat was cookie D, so calling that a winner",Elise
4/5/2023 14:40:28,No preference,No preference,,Under 18,No,Sofia likes all the cookies 🍪 ,Sofia L.
4/5/2023 19:05:00,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,They weren’t very distinguishable. A was a bit thinner than B but you could taste the salt in both. You could taste the vanilla in B too. ,Max Peck 
4/5/2023 20:56:33,"Cookie B (if cookies came stacked, second from top cookie)","Cookie D (if cookies came stacked, bottom cookie)",Cookie B,18 and up,No,,Kate B-A
4/5/2023 21:02:44,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie C,18 and up,No,,Bryan
4/5/2023 21:04:22,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,,
4/5/2023 21:06:23,"Cookie A (if cookies came stacked, top cookie)","Cookie C (if cookies came stacked, third from top cookie)",Cookie A,18 and up,No,Both were fabulous but had just a little too much salt for my taste. The dough/texture was better in A but the chocolate chunks in B were better. I think I care most about the texture so I chose A over B. I would love the chocolate chunks of B in A. Cookie C also slapped. Thank you so much for these cookies. ,Jacob
